name,team,pos,games,atbats,runs,hits,doub,trip,hr,rbi,totbases
A Beltre,LA,3B,88,320,32,76,13,2,7,29,114
C Izturis,LA,SS,84,313,32,72,20,1,1,24,97
S Green,LA,OF,84,311,62,87,17,1,26,68,184
E Karros,LA,1B,81,308,30,90,16,0,9,42,133
P Lo Duca,LA,C,80,301,41,98,23,1,5,38,138
M Grudzielanek,LA,2B,79,277,31,68,16,0,4,28,96
B Jordan,LA,OF,76,276,47,76,17,3,13,44,138
D Roberts,LA,OF,67,225,38,68,9,2,2,20,87
M Grissom,LA,OF,59,165,26,44,10,0,10,33,84
A Cora,LA,SS,53,94,15,28,7,4,2,11,49
D Hansen,LA,1B,47,71,8,20,5,0,1,13,28
H Bocachica,LA,OF,43,62,11,13,3,0,3,7,25
C Kreuter,LA,C,26,58,5,15,4,0,1,9,22
J Reboulet,LA,2B,32,41,2,9,2,0,0,2,11
O Perez,LA,P,16,34,1,5,3,0,0,0,8
K Ishii,LA,P,15,32,1,4,0,0,0,2,4
H Nomo,LA,P,17,29,2,2,2,0,0,2,4
A Ashby,LA,P,14,26,4,5,0,0,1,4,8
O Daal,LA,P,23,17,0,1,1,0,0,2,2
K Brown,LA,P,9,16,2,5,1,0,1,2,9
D Ross,LA,C,3,4,0,0,0,0,0,0,0
G Carrara,LA,P,37,3,0,0,0,0,0,0,0
G Anderson,ANA,OF,86,350,54,102,29,2,15,63,180
D Erstad,ANA,OF,79,332,50,103,14,2,6,51,139
T Glaus,ANA,3B,82,306,55,74,15,1,15,58,136
D Eckstein,ANA,SS,78,303,57,82,14,3,4,41,114
T Salmon,ANA,OF,84,298,52,84,27,0,14,55,153
B Molina,ANA,C,74,270,22,71,14,0,1,34,88
A Kennedy,ANA,2B,76,248,34,74,19,5,2,24,109
S Spiezio,ANA,1B,81,244,34,65,18,0,4,39,95
B Fullmer,ANA,DH,71,238,39,64,22,4,10,30,124
O Palmeiro,ANA,OF,52,120,21,37,6,1,0,10,45
J Nieves,ANA,2B,39,91,16,27,2,0,0,6,29
B Gil,ANA,2B,26,68,5,22,4,0,2,11,32
J Fabregas,ANA,C,23,59,7,13,1,0,0,4,14
J DaVanon,ANA,OF,16,30,3,5,3,0,1,4,11
J Ramirez,ANA,OF,20,24,5,7,0,1,1,5,12
A Amezaga,ANA,SS,5,10,2,5,2,0,0,2,7
R Ortiz,ANA,P,2,7,0,0,0,0,0,0,0
J Washburn,ANA,P,2,5,0,1,0,0,0,0,1
K Appier,ANA,P,2,2,0,0,0,0,0,0,0
S Schoeneweis,ANA,P,2,2,0,0,0,0,0,0,0
A Sele,ANA,P,1,2,0,1,0,0,0,0,1
C Bellinger,ANA,1B,2,1,0,0,0,0,0,0,0
